Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
Austria,CO,Carbon monoxide (air),2011,0.879,mg/m3
Austria,CO,Carbon monoxide (air),2009,1.149,mg/m3
Austria,CO,Carbon monoxide (air),2003,1.212,mg/m3
Austria,CO,Carbon monoxide (air),2010,1.229,mg/m3
Austria,CO,Carbon monoxide (air),2008,1.254,mg/m3
Austria,CO,Carbon monoxide (air),2008,0.24,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.268,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.408,mg/m3
Austria,CO,Carbon monoxide (air),2011,0.412,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.463,mg/m3
Austria,CO,Carbon monoxide (air),1997,4.0,mg/m3
Austria,CO,Carbon monoxide (air),1997,1.074,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.042,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.5,mg/m3
Austria,CO,Carbon monoxide (air),1999,2.9,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.391,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.399,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.437,mg/m3
Austria,CO,Carbon monoxide (air),2011,1.65,mg/m3
Austria,CO,Carbon monoxide (air),2011,0.508,mg/m3
Austria,CO,Carbon monoxide (air),1998,2.374,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.714,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.724,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.751,mg/m3
Austria,CO,Carbon monoxide (air),2005,1.04,mg/m3
Austria,CO,Carbon monoxide (air),2011,1.09,mg/m3
Austria,CO,Carbon monoxide (air),2008,1.106,mg/m3
Austria,CO,Carbon monoxide (air),2006,1.237,mg/m3
Austria,CO,Carbon monoxide (air),2010,1.255,mg/m3
Austria,CO,Carbon monoxide (air),2007,1.271,mg/m3
Austria,CO,Carbon monoxide (air),2009,1.29,mg/m3
Austria,CO,Carbon monoxide (air),2004,1.381,mg/m3
Austria,CO,Carbon monoxide (air),2002,1.6,mg/m3
Austria,CO,Carbon monoxide (air),2001,1.629,mg/m3
Austria,CO,Carbon monoxide (air),2003,1.671,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.329,mg/m3
Austria,CO,Carbon monoxide (air),2007,0.355,mg/m3
Austria,CO,Carbon monoxide (air),2011,0.36,mg/m3
Austria,CO,Carbon monoxide (air),2008,0.374,mg/m3
Austria,CO,Carbon monoxide (air),2005,0.39,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.396,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.412,mg/m3
Austria,CO,Carbon monoxide (air),2006,0.444,mg/m3
Austria,CO,Carbon monoxide (air),2004,0.484,mg/m3
Austria,CO,Carbon monoxide (air),2002,0.496,mg/m3
Austria,CO,Carbon monoxide (air),2003,0.676,mg/m3
Austria,CO,Carbon monoxide (air),2009,2.088,mg/m3
Austria,CO,Carbon monoxide (air),2010,2.486,mg/m3
Austria,CO,Carbon monoxide (air),2009,0.502,mg/m3
Austria,CO,Carbon monoxide (air),2010,0.53,mg/m3
Austria,CO,Carbon monoxide (air),2001,1.125,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.487,mg/m3
Austria,CO,Carbon monoxide (air),2000,1.55,mg/m3
Austria,CO,Carbon monoxide (air),1998,1.725,mg/m3
Austria,CO,Carbon monoxide (air),1994,1.849,mg/m3
Austria,CO,Carbon monoxide (air),1996,1.857,mg/m3
Austria,CO,Carbon monoxide (air),1995,2.2,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.314,mg/m3
Austria,CO,Carbon monoxide (air),1993,2.759,mg/m3
Austria,CO,Carbon monoxide (air),1992,3.154,mg/m3
Austria,CO,Carbon monoxide (air),2001,0.346,mg/m3
Austria,CO,Carbon monoxide (air),1993,0.348,mg/m3
Austria,CO,Carbon monoxide (air),1994,0.352,mg/m3
Austria,CO,Carbon monoxide (air),1995,0.357,mg/m3
Austria,CO,Carbon monoxide (air),2000,0.394,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.406,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.41,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.417,mg/m3
Austria,CO,Carbon monoxide (air),1992,0.461,mg/m3
Austria,CO,Carbon monoxide (air),1996,0.468,mg/m3
Austria,CO,Carbon monoxide (air),1999,4.25,mg/m3
Austria,CO,Carbon monoxide (air),1998,4.58,mg/m3
Austria,CO,Carbon monoxide (air),1997,6.571,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.633,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.639,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.734,mg/m3
Austria,CO,Carbon monoxide (air),1998,1.685,mg/m3
Austria,CO,Carbon monoxide (air),1999,1.871,mg/m3
Austria,CO,Carbon monoxide (air),1997,2.571,mg/m3
Austria,CO,Carbon monoxide (air),1997,0.284,mg/m3
Austria,CO,Carbon monoxide (air),1999,0.463,mg/m3
Austria,CO,Carbon monoxide (air),1998,0.512,mg/m3
