Country,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level
Austria,SO2,Sulphur dioxide (air),2020,4.218,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,4.622,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,5.784,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,8.293,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,10.766,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,11.49,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,11.66,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,15.187,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,9.807,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,11.176,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,11.705,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,15.173,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,15.914,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,18.518,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,19.819,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,20.001,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,5.848,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,10.655,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,11.723,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,14.484,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,15.97,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,19.165,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,21.463,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,22.107,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2015,0.0,count
Austria,SO2,Sulphur dioxide (air),2016,0.0,count
Austria,SO2,Sulphur dioxide (air),2017,0.0,count
Austria,SO2,Sulphur dioxide (air),2018,0.0,count
Austria,SO2,Sulphur dioxide (air),2019,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,0.0,count
Austria,SO2,Sulphur dioxide (air),2020,1.7,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,1.708,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,1.98,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,2.316,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,2.813,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,3.719,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,4.301,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,4.487,ug/m3
Austria,SO2,Sulphur dioxide (air),2020,1.497,ug/m3
Austria,SO2,Sulphur dioxide (air),2019,2.092,ug/m3
Austria,SO2,Sulphur dioxide (air),2018,2.42,ug/m3
Austria,SO2,Sulphur dioxide (air),2017,3.257,ug/m3
Austria,SO2,Sulphur dioxide (air),2016,3.501,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,4.437,ug/m3
Austria,SO2,Sulphur dioxide (air),2015,5.713,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,7.95,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,12.047,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,12.396,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,19.38,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2013,10.314,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,40.598,ug/m3
Austria,SO2,Sulphur dioxide (air),2013,0.0,count
Austria,SO2,Sulphur dioxide (air),2014,0.0,count
Austria,SO2,Sulphur dioxide (air),2013,2.189,ug/m3
Austria,SO2,Sulphur dioxide (air),2014,3.244,ug/m3
