Country,Year,Value
Austria,1990,6.99
Austria,1991,6.08
Austria,1992,7.28
Austria,1993,6.65
Austria,1994,7.89
Austria,1995,6.64
Austria,1996,5.66
Austria,1997,6.79
Austria,1998,6.95
Austria,1999,6.96
Austria,2000,7.81
Austria,2001,6.82
Austria,2002,7.55
Austria,2003,7.1
Austria,2004,6.58
Austria,2005,6.2
Austria,2006,7.01
Austria,2007,7.62
Austria,2008,7.48
Austria,2009,7.3
Austria,2010,6.34
Austria,2011,7.71
Austria,2012,7.48
Austria,2013,7.15
Austria,2014,8.17
Austria,2015,8.08
Austria,2016,7.59
Austria,2017,7.5
Austria,2018,8.31
Austria,2019,8.16
Austria,2020,8.08
Belgium,1990,10.84
Belgium,1991,9.66
Belgium,1992,10.45
Belgium,1993,9.83
Belgium,1994,10.92
Belgium,1995,10.62
Belgium,1996,8.86
Belgium,1997,10.43
Belgium,1998,10.34
Belgium,1999,10.95
Belgium,2000,11
Belgium,2001,10.48
Belgium,2002,10.93
Belgium,2003,10.78
Belgium,2004,10.41
Belgium,2005,10.68
Belgium,2006,10.98
Belgium,2007,11.11
Belgium,2008,10.6
Belgium,2009,10.65
Belgium,2010,9.34
Belgium,2011,11.21
Belgium,2012,10.43
Belgium,2013,9.91
Belgium,2014,11.73
Belgium,2015,11.07
Belgium,2016,10.78
Belgium,2017,11.07
Belgium,2018,11.62
Belgium,2019,11.4
Belgium,2020,11.92
Bulgaria,1990,11.12
Bulgaria,1991,9.99
Bulgaria,1992,10.44
Bulgaria,1993,10.18
Bulgaria,1994,11.59
Bulgaria,1995,10.58
Bulgaria,1996,10.21
Bulgaria,1997,10.01
Bulgaria,1998,10.78
Bulgaria,1999,11.47
Bulgaria,2000,11.52
Bulgaria,2001,11.38
Bulgaria,2002,11.49
Bulgaria,2003,10.6
Bulgaria,2004,11.01
Bulgaria,2005,10.62
Bulgaria,2006,10.8
Bulgaria,2007,11.9
Bulgaria,2008,11.82
Bulgaria,2009,11.77
