geo\time,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,10.2,10.7,10.8,11.4,11.3,11.4,11.1,10.8,10.7,9.8,10.3,10,9.7,9.6,9.2,9.3,9.4,9.6,9.2,9.3
Belgium,15,14.7,14.6,14.6,14.6,14.2,13.9,13.5,13.4,12.1,12.7,11.6 b,11.2 b,11.1,10.6,10.9,10.8,10.7,10.8,10.6
Bulgaria,7.1,7.6,7.5,8.2,8.1,8.3,8.4,9,8.9,7.7,8.2,8.9,8.3,7.6,8.1,8.6,8.3,8.7,8.3,8.1
Cyprus,13.2,13.2,13.3,13.8,13.8,13.6,13.7,13.9,13.8,13.1,12.4,11.8,11,10.1,10.7,10.7,11.4,11.6,11.3,11.2
Czech Republic,14.7,14.8,14.4,14.8,14.9,14.7,14.8,14.8,14.3,13.3,13.5,13.3,12.9,12.4,12.2,12.3,12.4,12.5,12.3,11.7
Germany,12.9,13.1,12.8,12.8,12.6,12.3,12.4,12.1,12.2,11.4,11.8,11.7 b,11.8,12,11.4,11.4,11.4,11.1,10.7,10.1
Denmark,13.8,14,13.8,14.7,13.6,12.8,14.2,13.3,12.5,11.9,11.9,10.9,10.1,10.3,9.6,9,9.3,8.9,8.8,8.1
Estonia,12.6,13,12.6,14.1,14.4,14.3,13.9,16.7,15.2,12.6,16,16.1,15.3,16.8,16.2,13.9 b,15.2,16.1,15.4,11.2
Greece,11.9,12,11.9,12.3,12.3,12.7,12.3,12.5,12.2,11.5,10.9,10.7,10.4,9.6,9.4,9.1,8.8,9.2,9,8.4
Spain,9.8,9.7,10,10,10.2,10.4,10.1,10.2,9.3,8.3,8,7.9,7.8,7.2,7.3,7.6,7.4,7.6,7.5,7.1
EU28,10.8 b,10.9 b,10.8,10.9,10.9,10.8,10.8,10.6,10.4 b,9.6,9.8 b,9.5 b,9.3 b,9.1,8.7 b,8.8 b,8.7,8.7 b,8.6 ep,8.2 bep
Finland,13.8,14.8,15.2,16.6,15.9,13.6,15.7,15.4,13.8,13,14.4,13,11.9,11.9,11.1,10.4,10.9,10.4,10.7,10.1
France,9.3,9.3,9.1,9.1,9.1,9,8.8,8.6,8.4,8,8.1,7.7,7.7,7.6,7.1 b,7.1,7.1,7.2,6.9 p,6.8 p
Crotia,5.8 e,6.3 b,6.5,6.8,6.8,7,7,7.4,7.2,6.6,6.5,6.5,6.1,5.8,5.6,5.8,5.8,6.1,5.9,6
Hungary,7.4,7.6,7.5,7.8,7.7,7.7,7.6,7.4,7.2,6.6,6.7,6.5,6.2 b,5.9,6,6.3,6.4,6.7,6.7,6.7
Ireland,18.5,18.8,18.1,17.8,17.3,17.5,17,16.3,15.8,14.2,14.1,13.1,13.2,13.1,12.9,13.4,13.7,13.6,13.5 e,12.8 e
Iceland,16.1,15.3,15.4,15.2,15.6,15,16.8,17.4,18.1,16.7,16.5,15.9,15.9,15.9,16,16.5,16.8,17.3,17.3,15.8
Italy,9.9,9.9,10,10.3,10.3,10.3,10.1,10,9.7,8.7,8.9,8.6,8.3,7.6,7.2,7.4,7.4,7.3,7.3,7.2 b
Lithuania,5.6,5.9,6,6.1,6.4,6.9,7.1,7.9,7.6,6.3,6.7,7.1,7.2,6.8,6.9,7.1,7.2,7.4,7.3,7.4
Luxembourg,24.4,25.4,27,27.8,30.7,30.8,29.7,28.3,27.6,25.8,26.6,25.6,24.4 b,22.8,21.6,20.6,20,20.1 b,20.4,20.3
Malta,8.1,8.2,8.2,8.9,8.5,8.1,8.2,8.4,8.2,7.7,7.9,7.9,8.3,7.5,7.5,5.8,5,5.3,5.2,5.3
Netherlands,14.3,14.2,14,14,14.1,13.7,13.4,13.3,13.2,12.7,13.4,12.5,12.2,12.2,11.7,12.1,12.1,11.9,11.5,11.1
Norway,12.5,12.7,12.3,12.4,12.4,12.2,12.1,12.3,11.9,11.2,11.6,11.3,11.1,10.9,10.8,10.7,10.5,10.2,10.2,9.7
Poland,10.4 b,10.4,10.1,10.5,10.6,10.6,11.1,11.1,10.9,10.4,10.9 b,10.9,10.7,10.6,10.3,10.3,10.6,11,10.9,10.4
Portugal,8.2,8,8.4,7.9,8.2,8.4,7.9,7.7,7.5,7.2,6.8,6.7,6.5,6.4,6.4,6.8,6.7,7.3,6.9,6.6
Romania,6.3,6.6,6.8,7.1,7.1,7,7.1,7.1,7,6.1,5.9,6.3,6.2,5.8,5.8,5.9,5.8,6,6.1,5.9 e
Sweden,7.9,8,8,8,7.9,7.6,7.5,7.4,7.1,6.5,7.1,6.6,6.3,6,5.8,5.7,5.7,5.5,5.4,5.2
Slovenia,9.4,10,10.1,9.9,10.1,10.2,10.3,10.4,10.7 b,9.5,9.6,9.6,9.2,8.9,8.1,8.2,8.6,8.6,8.5,8.2
Slovakia,9.1,9.5,9.2,9.3,9.4,9.4,9.4,9.1,9.1,8.3,8.4,8.3,7.9,7.8,7.4,7.5,7.6,7.8,7.8,7.4
Turkey,4.6,4.3,4.4,4.6,4.7,5,5.2,5.6,5.5,5.6,5.5,5.9,6.1,5.9,6.1,6.2,6.4,6.7,6.6,6.3
