Country,Air Quality (CO mg/m^3),Emissions (%),Temperature (Celsius),Fires (Hectares)
Austria,1.724491526,100.9177419,6.228833333,9.363636364
Belgium,1.047024579,91.46967742,9.816416667,158.3181818
Bulgaria,2.170557749,63.36709677,10.62575,7107.636364
Croatia,0.509152753,78.90935484,10.69091667,9549.272727
Cyprus,0.989086806,136.0974194,18.9385,1231.727273
Czechia,1.462457025,72.14064516,7.783,8.954545455
Denmark,1.82728652,92.8116129,7.958916667,42.36363636
Estonia,0.699468192,51.06548387,5.322833333,20.04545455
Finland,1.597017138,94.77419355,1.87275,145.5454545
France,0.893283412,92.49258065,10.82108333,11326.72727
Germany,0.851699707,79.17709677,8.720583333,309
Greece,4.575327496,106.09,13.81333333,38088.40909
Hungary,1.643693236,73.46935484,10.28158333,251
Iceland,0.472234375,113.9209677,1.79,567.2272727
Ireland,1.737242144,108.4596774,9.293416667,2376
Italy,1.980506093,96.15,12.13683333,45207.18182
Lithuania,1.261940714,48.02451613,6.517666667,12.68181818
Luxembourg,0.42324566,89.94483871,9.1,125.3636364
Malta,0.312070313,106.6451613,18.79325,3
Netherlands,1.579830239,94.44032258,9.600083333,72.36363636
Norway,0.78453724,100.3851613,1.381333333,607
Poland,1.644667714,84.47903226,8.049916667,300.7272727
Portugal,1.74473732,117.1254839,14.87058333,113062.0455
Romania,1.196224919,59.24096774,9.135333333,10644.40909
Slovakia,2.493820006,65.94548387,7.565666667,8.454545455
Slovenia,0.771530134,97.07193548,8.564083333,131.7272727
Spain,2.30644081,119.3841935,13.09958333,69620.81818
Sweden,1.383141977,88.50354839,2.19325,1910.52381
Turkey,0.328277552,151.1616129,11.11775,33934.72727
