;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Austria;5.18;5.15;5.7;6.05;5.59;5.49;5.48;5.1;4.97;5.73;6.24;5.26;5.66;5.39;5.47;6.27;5.25;5.97;5.09;6.43;6.41;5.18;6.01;5.19;5.61;6.38;6.06;6.23;5.44;6.35;5.2;5.88;4.9;6.97;5.7;6.06;6.12;5.91;5.8;4.38;4.86;5.39;6.52;5.55;6.33;6.45;6.47;6.51;6.54;6.64;6.67;5.76;6.43;5.28;5.45;4.92;6.38;6.27;6.52;6.09;6.8;5.07;5.4;5.93;5.28;6.44;6.43;6.01;5.64;5.54;6.1;5.88;5.81;6.51;6.51;6.01;6.58;5.45;6.01;5.3;6.12;6.58;6.84;5.76;5.6;6.01;5.86;6.76;7.02;6.99;6.08;7.28;6.65;7.89;6.64;5.66;6.79;6.95;6.96;7.81;6.82;7.55;7.1;6.58;6.2;7.01;7.62;7.48;7.3;6.34;7.71;7.48;7.15;8.17;8.08;7.59;7.5;8.31;8.16;8.08
Belgium;8.87;8.53;9.42;9.41;9.05;9.54;9.13;8.84;8.65;9.72;10.42;9.58;10.02;9.94;9.35;9.68;8.72;9.82;8.72;9.9;10.51;8.79;9.42;9.11;9.56;10.01;9.37;9.85;9;10.09;9.13;9.7;9.39;10.52;9.91;9.74;9.96;10;9.85;8.58;8.97;8.87;10.21;9.63;10.38;9.58;10.24;10.31;10.61;9.91;9.69;9.24;9.81;9.05;8.96;8.46;9.87;9.44;10.41;9.73;10.15;8.35;8.06;9.38;8.79;9.63;9.83;9.17;9.36;9.29;9.66;9.14;9.57;9.88;9.87;10.15;9.8;9.01;8.89;9.1;9.43;10.13;10.12;9.46;8.62;9.03;8.87;10.29;10.77;10.84;9.66;10.45;9.83;10.92;10.62;8.86;10.43;10.34;10.95;11;10.48;10.93;10.78;10.41;10.68;10.98;11.11;10.6;10.65;9.34;11.21;10.43;9.91;11.73;11.07;10.78;11.07;11.62;11.4;11.92
Bulgaria;10.34;9.74;10.66;10.2;10.35;10.53;9.8;9.71;10.27;10.91;10.23;9.69;9.97;9.76;10.65;11.14;10.31;10.48;10.29;9.92;10.08;9.98;11.29;9.86;10.69;10.95;11.08;10.23;9.81;11.08;10.23;10.19;9.08;11.14;10.38;10.94;11.22;10.67;10.78;9.28;9.77;9.62;10.34;10.3;10.31;11.01;10.83;10.16;10.17;11.27;11.38;11.35;10.02;10;10.84;9.59;10.67;10.93;10;11.04;10.85;10.71;10.41;10.02;9.96;11.48;10.37;10.66;10.12;10.69;10.37;10.46;10.12;10.32;10.61;9.59;10.78;10.03;10.83;9.76;10.51;10.32;10.49;10.27;9.9;10.45;9.95;10.46;10.61;11.12;9.99;10.44;10.18;11.59;10.58;10.21;10.01;10.78;11.47;11.52;11.38;11.49;10.6;11.01;10.62;10.8;11.9;11.82;11.77;11.74;10.81;11.82;11.93;11.96;11.8;11.91;11.71;12.29;12.76;12.47
Cyprus;18.65;18.21;17.41;17.8;18.06;18.21;17.6;17.73;18.82;17.89;17.72;18.01;17.99;18.3;18.96;19.3;18.74;18.67;18.9;18.26;17.96;18.83;19.09;18.64;18.91;19;19.25;19.06;18.53;19.28;18.91;18.86;17.95;18.86;19.2;18.97;19.38;18.6;19.29;18.95;18.95;18.86;18.49;18.8;18.44;19.17;19.61;18.22;18.02;18.63;19.27;19.28;18.2;19.14;19.7;18.46;18.95;19.12;18.21;19.58;18.74;19.79;19.26;18.46;18.79;19.85;18.1;19.16;19.28;19.38;18.81;18.31;19.02;18.89;18.44;18.12;18.62;19.01;19.27;18.43;19.1;18.11;18.29;18.53;18.92;18.96;18.54;18.5;18.65;18.74;18.71;17.68;18.63;19.56;18.93;19.22;18.4;19.8;19.9;19.22;20.27;19.53;19.65;19.47;19.37;19.24;19.68;19.78;19.78;21.07;19.28;20.05;20.09;20.21;19.58;20.31;19.86;20.8;20.16;20.47
Czech Republic;6.85;6.35;7.51;7.65;7.28;7.41;7.13;6.7;6.59;7.52;8;6.76;7.39;7.26;7.11;7.92;6.87;7.85;6.66;7.85;8.03;6.42;7.38;6.56;7.4;7.95;7.36;7.63;6.84;7.95;6.72;7.49;6.41;8.77;7.42;7.62;7.82;7.77;7.47;5.59;6.19;6.57;7.94;7.31;7.9;7.83;7.67;8.1;8.12;8.03;8.38;7.36;8.27;6.86;6.93;6.37;7.99;7.72;8.06;7.68;8.25;6.68;6.71;7.29;6.73;8.1;8.31;7.64;7.14;7.18;7.78;7.48;7.61;8.27;8.35;7.65;8.05;7.14;7.44;6.69;7.8;8.2;8.58;7.38;6.85;7.44;6.95;8.33;8.75;8.76;7.64;8.79;7.97;9.18;8.18;6.57;7.9;8.44;8.62;9.42;8.18;8.94;8.55;8.23;8.02;8.55;9.33;9.18;8.78;7.56;9.02;8.8;8.42;9.89;9.75;9.2;9.08;10.02;9.91;9.77
Germany;7.86;7.39;8.47;8.55;8.12;8.47;8.03;7.71;7.46;8.56;9.25;8.11;8.71;8.7;8.06;8.59;7.73;8.73;7.51;8.86;9.2;7.39;8.21;7.78;8.5;8.91;8.26;8.57;7.89;9.01;7.67;8.52;7.86;9.39;8.51;8.56;8.73;8.81;8.5;6.94;7.33;7.53;9.1;8.41;9.04;8.6;8.82;9.24;9.38;8.9;8.98;8.18;9.18;7.92;7.83;7.29;8.85;8.46;9.29;8.6;9.18;7.43;7.37;8.38;7.69;8.67;9.12;8.4;7.99;7.93;8.69;8.13;8.48;9.02;9.13;8.66;8.83;8.02;7.95;7.82;8.43;9.21;9.35;8.28;7.77;8.22;7.74;9.33;9.84;9.85;8.73;9.69;8.77;9.94;9.18;7.61;9.21;9.31;9.75;10.15;9.23;9.8;9.58;9.19;9.27;9.84;10.13;9.81;9.55;8.22;10.05;9.47;9.08;10.68;10.33;9.91;9.93;10.73;10.56;10.85
Denmark;7.61;6.34;7.59;7.45;7.52;8.02;7.06;7.5;6.61;8.34;8.49;7.34;8.26;8.61;6.65;7.55;7.14;7.71;6.64;8;8.34;6.48;6.86;7;8.03;7.87;7.24;7.27;6.7;8.37;6.98;8.22;7.99;9.19;8.06;8.1;7.98;8.82;8.18;6.18;6.3;5.98;8.55;8.18;8.54;7.76;7.37;8.49;9.11;8.16;8.08;7.17;8.75;7.37;7.33;6.71;8.02;7.32;8.74;7.64;8.45;6.98;6.68;7.5;7.01;7.12;8.4;7.88;7.35;6.94;8.16;7.82;8.16;8.48;8.94;7.7;7.86;7.52;6.62;7.28;7.38;8.08;8.49;7.99;6.51;7.06;6.56;8.54;9.31;9.5;8.23;9.02;7.7;8.63;8.35;6.82;8.43;8.14;8.86;9.23;8.22;9.08;8.59;8.63;8.7;9.29;9.45;9.48;8.82;7.03;9.01;8.4;8.53;10.1;9.23;9.02;8.9;9.51;9.56;9.98
Spain;12.17;12.39;12.46;12.85;12.19;12.45;12.28;12.57;12.12;12.24;12.51;12.32;12.63;12.37;12.37;12.45;11.86;12.27;12.15;12.56;12.82;12.36;12.57;12.79;11.97;13.34;12.85;12.89;12.81;12.96;12.59;12.27;12.68;12.58;12.35;12.33;13.07;12.56;12.38;12.58;12.25;12.82;13.19;12.58;13.51;12.71;13.36;13.45;13.43;13.12;12.57;13.07;13.04;12.65;13.68;12.1;12.7;13.17;13.19;13;13.8;12.98;12.6;13.26;12.82;13.2;12.96;13.17;12.52;13.04;12.5;12.2;12.81;12.71;12.74;12.78;12.84;12.99;13.09;12.87;13.47;13.48;13.47;12.73;13.38;13.19;13.64;13.44;14.23;14.04;13.33;13.33;12.92;13.95;14.27;13.47;14.36;13.88;13.76;13.84;13.91;13.89;14.27;13.82;13.63;14.38;13.7;13.65;14.3;13.59;14.4;13.91;13.73;14.54;14.48;14.34;14.59;14.19;14.38;14.64
Estonia;5.34;2.99;5.83;4.16;5.19;5.75;3.86;4.5;4.4;6.11;5.23;4.4;5.74;5.83;3.24;4.75;4.14;4.93;4.25;6.1;5.29;4.19;4.26;5.09;5.68;4.48;4.67;4.61;4.29;6.24;4.14;5.74;4.56;6.97;5.47;6.13;5.98;6.69;5.61;3.34;2.52;2.74;6.2;5.76;4.72;4.9;4.2;5.64;6.65;5.15;5.06;4.35;5.58;4.96;4.2;3.43;5.54;4.26;5.93;4.84;6.39;4.51;4.24;5.07;4.39;4.02;5.35;4.58;3.9;4.33;5.33;5.93;5.43;6.29;6.88;3.83;4.72;3.91;4.78;4.51;5.12;5.55;6.18;5.86;3.54;4.95;3.32;5.78;7.12;6.69;6.21;6.43;5.29;5.42;6.18;4.85;5.92;5.46;6.48;7.08;6.03;6.23;5.76;5.98;6.1;6.53;6.66;7.26;6.02;4.9;6.88;5.6;6.75;6.96;7.38;6.5;6.24;6.99;7.2;8.15
Greece;13.52;13.36;13.58;13.52;13.43;13.38;13.12;13.05;13.41;13.64;13.47;13.18;13.31;12.99;13.81;14.37;13.64;13.53;13.63;13.53;13.33;13.63;14.28;13.5;13.85;14.27;14.57;13.88;13.18;14.13;13.71;13.55;12.63;14.22;13.78;13.97;14.36;13.73;13.96;12.87;13.27;13.29;13.73;13.51;13.74;14.24;14.28;13.3;13.22;14.36;14.33;14.65;13.19;13.48;14.22;13.25;13.84;14.14;13.24;14.32;14.14;14.27;14.2;13.52;13.48;14.46;13.65;13.88;13.74;13.92;13.44;13.44;13.44;13.33;13.4;12.9;13.93;13.27;13.84;13.16;13.6;13.43;13.17;13.37;13.61;13.75;13.45;13.73;13.37;14.06;13.02;13.31;13.48;14.45;13.66;13.33;13.37;14.16;14.67;14.41;14.57;14.31;14.09;14.08;13.73;13.78;14.53;14.57;14.47;14.98;13.86;14.71;14.77;14.68;14.38;14.89;14.52;15.22;15.15;15.03
